pfr_uid,uid,name
PFR:AdamJo03,joshadams|1996-10-29,Josh Adams
PFR:AdamMi21,mikeadams|1981-03-24,Mike Adams
PFR:AdebQu00,quincyadeboyejo|1995-05-26,Quincy Adeboyejo
PFR:AdenOl00,olaadeniyi|1997-09-12,Ola Adeniyi
PFR:AlexAd00,adonisalexander|1996-11-07,Adonis Alexander
PFR:AlleBr02,brianallen|1995-10-11,Brian Allen
PFR:AlleCh02,chaseallen|1993-08-29,Chase Allen
PFR:AsiaIs00,isaacasiata|1992-12-29,Isaac Asiata
PFR:AtkiJo01,johnatkins|1992-12-21,John Atkins
PFR:BakeCh99,chrisbaker|1987-10-08,Chris Baker
PFR:BankBr01,brandonbanks|1994-07-13,Brandon Banks
PFR:BannZa00,zachbanner|1993-12-25,Zach Banner
PFR:BatsCa00,cameronbatson|1995-12-20,Cameron Batson
PFR:BaylEv00,evanbaylis|1993-11-18,Evan Baylis
PFR:BeckKe00,kendellbeckwith|1994-12-02,Kendell Beckwith
PFR:BellB.00,bjbello|1994-10-31,B.J. Bello
PFR:BellBr01,brandonbell|1995-01-09,Brandon Bell
PFR:BennMi01,michaelbennett|1993-02-24,Michael Bennett
PFR:BennMi99,michaelbennett|1985-11-13,Michael Bennett
PFR:BighAd00,adambighill|1988-10-16,Adam Bighill
PFR:BillJa00,jacebillingsley|1993-05-17,Jace Billingsley
PFR:BisnAd00,adambisnowaty|1993-12-14,Adam Bisnowaty
PFR:BlacSa00,saeedblacknall|1996-03-17,Saeed Blacknall
PFR:BoetIk00,ikeboettger|1994-10-05,Ike Boettger
PFR:BoldVi00,victorbolden|1995-04-04,Victor Bolden
PFR:BollGa00,garettbolles|1992-05-27,Garett Bolles
PFR:BondDe01,deyshawnbond|1994-08-19,Deyshawn Bond
PFR:BordBr00,breonborders|1995-07-22,Breon Borders
PFR:BoweTa00,tashawnbower|1995-02-18,Tashawn Bower
PFR:BoykBr01,brettboyko|1992-08-04,Brett Boyko
PFR:BozeBr00,bradleybozeman|1994-11-24,Bradley Bozeman
PFR:BradBa00,bambradley|1994-06-26,Bam Bradley
PFR:BradBe00,benbraden|1994-03-09,Ben Braden
PFR:BradHu00,hunterbradley|1994-05-21,Hunter Bradley
PFR:BrayTy00,tylerbray|1991-12-27,Tyler Bray
PFR:BrenK.00,kjbrent|1993-08-06,K.J. Brent
PFR:BrowBl00,blairbrown|1994-05-27,Blair Brown
PFR:BrowDo02,donatellobrown|1991-05-15,Donatello Brown
PFR:BrowFa00,fadolbrown|1993-04-15,Fadol Brown
PFR:BrowOr00,orlandobrown|1996-05-02,Orlando Brown
PFR:BrowTo01,tonybrown|1995-07-13,Tony Brown
PFR:BrowTr02,trentbrown|1993-04-13,Trent Brown
PFR:BullRi00,rileybullough|1993-11-23,Riley Bullough
PFR:BundMa00,marquisbundy|1994-08-05,Marquis Bundy
PFR:BurgJa01,jamesburgess|1994-03-09,James Burgess
PFR:BurnDe00,deontayburnett|1997-10-04,Deontay Burnett
PFR:BurtDe00,deanteburton|1994-07-12,Deante Burton
PFR:ByrdEm00,emanuelbyrd|1994-12-09,Emanuel Byrd
PFR:CaliAu00,austincalitro|1994-01-10,Austin Calitro
PFR:CallJo00,joecallahan|1993-06-04,Joe Callahan
PFR:CapiNo00,capcapi|1992-07-11,Cap Capi
PFR:CappAl00,alexcappa|1995-01-27,Alex Cappa
PFR:CarrAu00,austincarr|1993-12-25,Austin Carr
PFR:CarrJo00,joshcarraway|1994-04-13,Josh Carraway
PFR:CarsTr01,tracarson|1992-10-24,Tra Carson
PFR:CartJa02,jamalcarter|1994-04-12,Jamal Carter
PFR:CartKy01,kylecarter|1992-12-17,Kyle Carter
PFR:CataTy00,tylercatalina|1993-01-24,Tyler Catalina
PFR:ChesJe00,jehuchesson|1993-12-20,Jehu Chesson
PFR:ChriGe01,geronchristian|1996-09-10,Geron Christian
PFR:ClapWi00,willclapp|1995-12-10,Will Clapp
PFR:ClarJe04,jeremyclark|1994-06-29,Jeremy Clark
PFR:ClarMi00,michaelclark|1995-10-26,Michael Clark
PFR:ClauBl01,blaineclausell|1992-01-31,Blaine Clausell
PFR:ClemCh00,chunkyclements|1994-12-03,Chunky Clements
PFR:CoexRo00,rodneycoe|1993-05-18,Rodney Coe
PFR:ColeLa02,lavoncoleman|1994-12-10,Lavon Coleman
PFR:ColeMa02,masoncole|1996-03-28,Mason Cole
PFR:ColeSt00,stacycoley|1994-05-13,Stacy Coley
PFR:ColeTr01,trevoncoley|1994-07-13,Trevon Coley
PFR:ColeXa00,xaviercoleman|1995-01-13,Xavier Coleman
